PRN             t(GNSS TIME)/s                 X/m                 Y/m                 Z/m               toe/s
G01                 0.00000000   -8420637.78352228  -13775264.13433882  -21352654.22483530       7200.00000000
G01               300.00000000   -7624254.79740686  -13856378.43408035  -21591060.84252402       6900.00000000
G01               600.00000000   -6821149.70857938  -13953196.25923484  -21789071.91206807       6600.00000000
G01               900.00000000   -6013121.72674317  -14065820.27976559  -21946289.96195904       6300.00000000
G01              1200.00000000   -5201980.67969053  -14194250.76763055  -22062391.66570728       6000.00000000
G01              1500.00000000   -4389540.22503751  -14338385.22067166  -22137128.61849651       5700.00000000
G01              1800.00000000   -3577611.03508487  -14498018.42348076  -22170327.99909588       5400.00000000
G01              2100.00000000   -2767993.98139013  -14672842.94698500  -22161893.11456484       5100.00000000
G01              2400.00000000   -1962473.34582708  -14862450.08685321  -22111803.82530430       4800.00000000
G01              2700.00000000   -1162810.08501429  -15066331.23916031  -22020116.84803620       4500.00000000
G01              3000.00000000    -370735.17500510  -15283879.71006383  -21886965.93433596       4200.00000000
G01              3300.00000000     412056.93694791  -15514392.95454990  -21712561.92239932       3900.00000000
G01              3600.00000000    1183914.74691963  -15757075.23759977  -21497192.65979673       3600.00000000
G01              3900.00000000    1943235.94877040  -16011040.70941804  -21241222.79505851       3300.00000000
G01              4200.00000000    2688473.50255188  -16275316.88465589  -20945093.43604162       3000.00000000
G01              4500.00000000    3418141.49135530  -16548848.51386169  -20609321.67315580       2700.00000000
G01              4800.00000000    4130820.74167837  -16830501.83370493  -20234499.96567536       2400.00000000
G01              5100.00000000    4825164.18307367  -17119069.18085333  -19821295.38953143       2100.00000000
G01              5400.00000000    5499901.92363421  -17413273.95274429  -19370448.74517170       1800.00000000
G01              5700.00000000    6153846.01877054  -17711775.89688798  -18882773.52428896       1500.00000000
G01              6000.00000000    6785894.91173897  -18013176.70877767  -18359154.73445798       1200.00000000
G01              6300.00000000    7395037.52549214  -18316025.91697159  -17800547.58098232        900.00000000
G01              6600.00000000    7980356.98663887  -18618827.03245706  -17207976.00553841        600.00000000
G01              6900.00000000    8541033.96362024  -18920043.93802072  -16582531.08151424        300.00000000
G01              7200.00000000    9076349.60262981  -19218107.49203706  -15925369.26627328          0.00000000
G01              7500.00000000    9585688.04632485  -19511422.31985802  -15237710.51093104        300.00000000
G01              7800.00000000   10068538.52199031  -19798373.76485030  -14520836.22861021        600.00000000
G01              8100.00000000   10524496.98752162  -20077334.97009033  -13776087.12254058        900.00000000
G01              8400.00000000   10953267.32538317  -20346674.06079899  -13004860.87579012       1200.00000000
G01              8700.00000000   11354662.07656982  -20604761.39678815  -12208609.70485196       1500.00000000
G01              9000.00000000   11728602.70854196  -20849976.86350501  -11388837.77976729       1800.00000000
G01              9300.00000000   12075119.41311464  -21080717.16970735  -10547098.51393390       2100.00000000
G01              9600.00000000   12394350.43234821  -21295403.11938972   -9684991.72723185       2400.00000000
G01              9900.00000000   12686540.91260397  -21492486.82531337   -8804160.68658966       2700.00000000
G01             10200.00000000   12952041.28908381  -21670458.83137851   -7906289.02861235       3000.00000000
G01             10500.00000000   13191305.20535646  -21827855.11112035   -6993097.56939532       3300.00000000
G01             10800.00000000   13404886.97457490  -21963263.90981564   -6066341.00715051       3600.00000000
G01             11100.00000000   13593438.85936829  -22075332.38349947   -5127804.17940545       3300.00000000
G01             11400.00000000   13757706.58335388  -22162773.15461606   -4179299.98963442       3000.00000000
G01             11700.00000000   13898527.04643434  -22224370.21608321   -3222663.64212178       2700.00000000
G01             12000.00000000   14016823.04306694  -22258985.07749151   -2259750.46908806       2400.00000000
G01             12300.00000000   14113598.85745779  -22265562.28176387   -1292431.82197740       2100.00000000
G01             12600.00000000   14189935.23831905  -22243134.65873291    -322591.27657822       1800.00000000
G01             12900.00000000   14246984.02282420  -22190828.21460108     647879.21627445       1500.00000000
G01             13200.00000000   14285962.43322625  -22107866.63244913    1617083.22517450       1200.00000000
G01             13500.00000000   14308147.07139619  -21993575.36065068    2583123.76821147        900.00000000
G01             13800.00000000   14314867.63821897  -21847385.26788719    3544107.26873117        600.00000000
G01             14100.00000000   14307500.40634134  -21668835.84543301    4498147.52662056        300.00000000
G01             14400.00000000   14287461.47618653  -21457577.93948259    5443369.69471658          0.00000000
G01             14700.00000000   14256199.84642522  -21213375.99851165    6377914.24975176        300.00000000
G01             15000.00000000   14215190.33120943  -20936109.82298831    7299940.94710895        600.00000000
G01             15300.00000000   14165926.35742679  -20625775.80716624    8207632.74856493        900.00000000
G01             15600.00000000   14109912.67600891  -20282487.66518518    9099199.71216085       1200.00000000
G01             15900.00000000   14048658.02192243  -19906476.63626103    9972882.83334520       1500.00000000
G01             16200.00000000   13983667.75787831  -19498091.16635064   10826957.82659567       1800.00000000
G01             16500.00000000   13916436.53701048  -19057796.06631116   11659738.83683851       2100.00000000
G01             16800.00000000   13848441.01979515  -18586171.14922272   12469582.07014786       2400.00000000
G01             17100.00000000   13781132.68030625  -18083909.35218948   13254889.33342320       2700.00000000
